Push,Pull,Legs,Exercise
dumbbel press 10,seated row,romanian deadlift,dumbbel press 10
chest press unilateral,pulldown large,squat,chest press unilateral
cable flyes,rowing machine,split squat,cable flyes
dumbbel press 70,pushdown neutral,leg extension,dumbbel press 70
lateral raise,incline curl,leg curl,lateral raise
v pushdown,hammer curl,lumbar extension,v pushdown
rope pushdown,reverse fly,,rope pushdown
crunch,crunch,,crunch
front raise,curl,,seated row
,,,pulldown large
,,,rowing machine
,,,pushdown neutral
,,,incline curl
,,,hammer curl
,,,reverse fly
,,,romanian deadlift
,,,squat
,,,split squat
,,,leg extension
,,,leg curl
,,,lumbar extension
,,,curl
,,,front raise